File	Author	Title
sources/dlt000573/dlt000573.xml	Anonyme	Augustini Ars Breuiata 
sources/dlt000345/dlt000345.xml	Marcellinus comes	Chronicon
sources/dlt000028/dlt000028.xml	Augustinus, Aurelius	De rhetorica
sources/dlt000383/dlt000383.xml	Palladius Rutilius Taurus Aemilianus	De insitione
sources/dlt000547/dlt000547.xml	Boethius (Anicius Manlius Seuerinus Boethius)	Analytica priora Aristotelis latine uersa (recensio Carnutensis, partes
                    quaedam seorsum editae)
sources/dlt000236/dlt000236.xml	Granius Licinianus	Reliquiae
sources/dlt000166/dlt000166.xml	Anonymus	Alexandri Magni Macedonis epitoma rerum gestarum
sources/dlt000386/dlt000386.xml	Anonyme	Panegyrici Latini
sources/dlt000509/dlt000509.xml	Vindicianus	Epistula ad Pentadium nepotem suum
sources/dlt000187/dlt000187.xml	Firmicus Maternus	Mathesis
sources/dlt000452/dlt000452.xml	Anonyme	Commenta Bernensia in Lucanum
sources/dlt000558/dlt000558.xml	Emporius Rhetor	Praeceptum demonstratiuae materiae
sources/dlt000426/dlt000426.xml	Anonyme	[Priscianus] 
sources/dlt000233/dlt000233.xml	Gargilius Martialis	De hortis
sources/dlt000546/dlt000546.xml	Siculus Flaccus	De condicionibus agrorum
sources/dlt000073/dlt000073.xml	Caper (Ps.)	De orthographia
sources/dlt000480/dlt000480.xml	Quintus Aurelius Symmachus	Relationes
sources/dlt000595/dlt000595.xml	Anonyme	Tribunus Marianus
sources/dlt000253/dlt000253.xml	Anonyme	Historia Apollonii regis Tyri recensio A
sources/dlt000412/dlt000412.xml	Plinius Secundus Iunior	De medicina
sources/dlt000542/dlt000542.xml	Anonyme	Epistola Alexandri ad Aristotelem
sources/dlt000097/dlt000097.xml	Anonyme	Collatio Alexandri et Dindimi
sources/dlt000048/dlt000048.xml	Boethius (Anicius Manlius Seuerinus Boethius)	Peri hermeneias liber Aristotelis latine uersus
sources/dlt000544/dlt000544.xml	Anonyme	Prologi historiarum Philippicarum Pompei Trogi
sources/dlt000408/dlt000408.xml	Phocas	Ars (siue de nomine et uerbo)
sources/dlt000034/dlt000034.xml	Ausonius	Cento nuptialis: epistula praef.
sources/dlt000155/dlt000155.xml	Aelius Donatus	Vita Vergilii
